,alpha_gross_units,units,abs_pct_err,abs_err
4HAF3FX,0.0,0.0,0.0,0.0
4HDAZYH,0.0,0.0,0.0,0.0
4HFEUCD,8677.0,4959.0,0.4284397326572943,3718.0
4HQZBGC,0.0,0.0,0.0,0.0
4HYB25W,0.0,0.0,0.0,0.0
4HZ3UZ9,0.0,0.0,0.0,0.0
4J88MGP,0.0,0.0,0.0,0.0
4JHBBUA,0.0,0.0,0.0,0.0
4K9YB89,0.0,0.0,0.0,0.0
4KJTPEN,52166.0,2285.0,0.956179193743171,49881.0
4KVY6FU,0.0,0.0,0.0,0.0
4MHBBZZ,0.0,0.0,0.0,0.0
4MWKNB2,0.0,0.0,0.0,0.0
4NDDYQN,0.0,0.0,0.0,0.0
4NZUWZ3,0.0,0.0,0.0,0.0
4PA7H5Z,4472.0,1459.0,0.6735971383858708,3013.0
4QJNZFQ,0.0,0.0,0.0,0.0
4QVDZMK,0.0,0.0,0.0,0.0
4RNB3HH,0.0,0.0,0.0,0.0
4RTJAP6,0.0,0.0,0.0,0.0
4SYFYED,0.0,0.0,0.0,0.0
4SYWPWM,1.0,0.0,0.5,1.0
4T25NGB,180.0,147.0,0.18232044198895028,33.0
4TCC7V4,72.0,42.0,0.410958904109589,30.0
4TJHXW2,1588.0,642.0,0.5953429830081812,946.0
4UJVCBY,0.0,0.0,0.0,0.0
4WHFR9M,4705.0,3051.0,0.3514662133446664,1654.0
4WHKZCW,0.0,0.0,0.0,0.0
4XGEEAA,257.0,17.0,0.9302325581395349,240.0
4XRKZ2Z,0.0,0.0,0.0,0.0
4YKWXMB,90.0,56.0,0.37362637362637363,34.0
4ZYUPH5,0.0,0.0,0.0,0.0
52SBYMZ,3.0,0.0,0.75,3.0
538QGMH,0.0,0.0,0.0,0.0
55HDSZR,3437.0,3203.0,0.06806282722513089,234.0
567AXNY,0.0,0.0,0.0,0.0
56KWXBC,0.0,0.0,0.0,0.0
576JV3B,0.0,0.0,0.0,0.0
59VG4HZ,0.0,0.0,0.0,0.0
5BBUGP9,0.0,0.0,0.0,0.0
5BWZXFU,0.0,0.0,0.0,0.0
5C7ZJE7,3915.0,2258.0,0.4231358529111338,1657.0
5CGE8FX,1007.0,376.0,0.6259920634920635,631.0
5CYZHTV,0.0,0.0,0.0,0.0
5EMEHW7,0.0,1.0,1.0,1.0
5FENHTT,156.0,152.0,0.025477707006369428,4.0
5FF7UYH,0.0,0.0,0.0,0.0
5FWK2VP,194.0,119.0,0.38461538461538464,75.0
5GCFAH4,4.0,1.0,0.6,3.0
5GZRHS3,0.0,0.0,0.0,0.0
5HBJFP2,0.0,0.0,0.0,0.0
5HFHANT,0.0,0.0,0.0,0.0
5JHXN5G,0.0,0.0,0.0,0.0
5JYCQHT,0.0,0.0,0.0,0.0
5K98WPH,0.0,0.0,0.0,0.0
5MGD4CF,0.0,0.0,0.0,0.0
5PXSFBX,25.0,31.0,0.23076923076923078,6.0
5PYAGPV,0.0,0.0,0.0,0.0
5Q6FXXV,0.0,0.0,0.0,0.0
5QPNDMP,0.0,0.0,0.0,0.0
5QRZZ3P,2.0,0.0,0.6666666666666666,2.0
5QXAZ3K,2.0,1.0,0.3333333333333333,1.0
5RCQ9QG,0.0,0.0,0.0,0.0
5RHTV6A,46.0,32.0,0.2978723404255319,14.0
5SJKJ4F,0.0,0.0,0.0,0.0
5TK6YZG,0.0,0.0,0.0,0.0
5TVGTQR,3.0,0.0,0.75,3.0
5TVQDP6,0.0,0.0,0.0,0.0
5VTU6RR,0.0,0.0,0.0,0.0
5XPEUHA,22.0,14.0,0.34782608695652173,8.0
5YD3JNE,0.0,0.0,0.0,0.0
5YG7AKC,0.0,0.0,0.0,0.0
5Z3MWGZ,32.0,3.0,0.8787878787878788,29.0
5Z8NHTZ,0.0,0.0,0.0,0.0
5ZANUUF,509.0,348.0,0.3156862745098039,161.0
5ZD9KYS,2.0,1.0,0.3333333333333333,1.0
5ZNZYQZ,0.0,0.0,0.0,0.0
5ZVPACF,0.0,0.0,0.0,0.0
5ZZGEBF,853.0,434.0,0.49063231850117095,419.0
6764NNY,0.0,0.0,0.0,0.0
67FDQGU,0.0,0.0,0.0,0.0
68E5ZF3,0.0,0.0,0.0,0.0
68N57TH,0.0,2.0,2.0,2.0
69TGSXQ,0.0,0.0,0.0,0.0
6AMGXWD,0.0,0.0,0.0,0.0
6ARMYGS,0.0,0.0,0.0,0.0
6B7ASVC,0.0,0.0,0.0,0.0
6CBJPZP,0.0,0.0,0.0,0.0
6CDM9DW,0.0,0.0,0.0,0.0
6DGJMZD,0.0,0.0,0.0,0.0
6EFZYYX,0.0,0.0,0.0,0.0
6EZQRHH,0.0,0.0,0.0,0.0
6FDHUFZ,0.0,0.0,0.0,0.0
6FDJPCE,0.0,0.0,0.0,0.0
6FR2WUZ,0.0,0.0,0.0,0.0
6GBG69J,0.0,0.0,0.0,0.0
6GNPQFY,0.0,0.0,0.0,0.0
6GYGNSZ,0.0,0.0,0.0,0.0
6HFCMRZ,3.0,1.0,0.5,2.0
6JDZMGG,0.0,0.0,0.0,0.0
6JF62MW,0.0,0.0,0.0,0.0
6K7YMJU,15.0,16.0,0.0625,1.0
6KGXCCR,5563.0,5941.0,0.06793673616103522,378.0
6NZHMDM,0.0,0.0,0.0,0.0
6PNTVGA,0.0,1.0,1.0,1.0
6QXTVKD,0.0,0.0,0.0,0.0
6QYNE3P,0.0,0.0,0.0,0.0
6RYZRZH,0.0,0.0,0.0,0.0
6SASD2A,0.0,0.0,0.0,0.0
6TPMQKZ,0.0,0.0,0.0,0.0
6UFVZGR,0.0,0.0,0.0,0.0
6UPBQ9K,104.0,35.0,0.6571428571428571,69.0
6UYGR2R,1.0,0.0,0.5,1.0
6VCVQNU,1.0,2.0,0.5,1.0
6XRTYRF,0.0,0.0,0.0,0.0
6YDNTCE,0.0,0.0,0.0,0.0
6YGVHXZ,1.0,1.0,0.0,0.0
6YSQPPS,0.0,0.0,0.0,0.0
6YTRV4D,1.0,0.0,0.5,1.0
6YUQCPN,0.0,0.0,0.0,0.0
6ZTUVFR,1.0,0.0,0.5,1.0
72AW7HA,0.0,0.0,0.0,0.0
74HAZM5,0.0,0.0,0.0,0.0
7736ZH5,3.0,1.0,0.5,2.0
77MVYBG,1.0,1.0,0.0,0.0
7A2X4ZY,0.0,1.0,1.0,1.0
7CAEUHG,0.0,0.0,0.0,0.0
7DCKWSR,0.0,0.0,0.0,0.0
7DCWWUH,0.0,0.0,0.0,0.0
7DNW9Q8,0.0,0.0,0.0,0.0
7DSFHPJ,31.0,34.0,0.09375,3.0
7DW89ZB,3.0,2.0,0.25,1.0
7ECVW2Z,0.0,0.0,0.0,0.0
7F5KBV2,1916.0,935.0,0.5117370892018779,981.0
7HCZGKG,0.0,0.0,0.0,0.0
7HQMEZD,7190.0,998.0,0.8610763454317898,6192.0
7HV4MAH,43.0,77.0,0.7727272727272727,34.0
7MCUSWG,181.0,95.0,0.4725274725274725,86.0
7NUS5QW,0.0,0.0,0.0,0.0
7NY4PXC,22104.0,4346.0,0.8033476589007011,17758.0
7P7RNYX,0.0,1.0,1.0,1.0
7PU7BWR,0.0,0.0,0.0,0.0
7QKQAZG,0.0,0.0,0.0,0.0
7RGPNET,133.0,192.0,0.44029850746268656,59.0
7SUGZG5,0.0,0.0,0.0,0.0
7TJHRCW,0.0,0.0,0.0,0.0
7USNBZV,0.0,0.0,0.0,0.0
7VDVZVP,0.0,0.0,0.0,0.0
7W2UPB9,98.0,139.0,0.41414141414141414,41.0
7WAJBXB,0.0,0.0,0.0,0.0
7X8263G,14530.0,3898.0,0.7316771041222214,10632.0
7YQJRSY,3283.0,1425.0,0.5657734470158343,1858.0
7ZEZEWQ,0.0,0.0,0.0,0.0
7ZJ6ZBY,0.0,0.0,0.0,0.0
82T3XRS,773.0,57.0,0.9250645994832042,716.0
86CENMX,810.0,774.0,0.04438964241676942,36.0
86PEDVG,139.0,116.0,0.16428571428571428,23.0
86XFKZH,0.0,0.0,0.0,0.0
86ZHRKT,0.0,0.0,0.0,0.0
87QNJ32,1.0,0.0,0.5,1.0
89NXPZQ,0.0,0.0,0.0,0.0
89TYFXR,0.0,0.0,0.0,0.0
8DCRM8H,0.0,0.0,0.0,0.0
8DFTDHZ,0.0,0.0,0.0,0.0
8FHSKGP,1.0,0.0,0.5,1.0
8FYFJAZ,1.0,2.0,0.5,1.0
8GUHTH3,0.0,0.0,0.0,0.0
8GXBHRB,0.0,0.0,0.0,0.0
8HKECXJ,1.0,1.0,0.0,0.0
8HMVT5P,0.0,0.0,0.0,0.0
8HZHAAN,410.0,281.0,0.31386861313868614,129.0
8JS7BUA,159.0,179.0,0.125,20.0
8M9N6HT,0.0,0.0,0.0,0.0
8MFPN6Q,27.0,14.0,0.4642857142857143,13.0
8MKUYHU,0.0,0.0,0.0,0.0
8NXZ5UX,11.0,10.0,0.08333333333333333,1.0
8PDVDDC,36.0,69.0,0.8918918918918919,33.0
8PNVGGF,25.0,26.0,0.038461538461538464,1.0
8QBVZVC,0.0,0.0,0.0,0.0
8QYNKGZ,0.0,0.0,0.0,0.0
8RAZDYR,3.0,5.0,0.5,2.0
8SRYEYT,0.0,0.0,0.0,0.0
8TWTXJA,0.0,0.0,0.0,0.0
8TYVZBG,0.0,0.0,0.0,0.0
8UZPHQG,0.0,0.0,0.0,0.0
8VZEXK3,0.0,0.0,0.0,0.0
8XRYGB9,0.0,0.0,0.0,0.0
8XYNVM9,0.0,0.0,0.0,0.0
8YWJSD4,0.0,0.0,0.0,0.0
8Z7HWCY,20.0,10.0,0.47619047619047616,10.0
8ZFKPMK,1.0,0.0,0.5,1.0
8ZGWZGV,0.0,0.0,0.0,0.0
8ZH4G3C,67.0,21.0,0.6764705882352942,46.0
8ZHKNDY,1176.0,744.0,0.36703483432455397,432.0
8ZWYGUF,0.0,0.0,0.0,0.0
95WRGT4,0.0,0.0,0.0,0.0
96CD3HR,0.0,0.0,0.0,0.0
96YFDSH,13.0,9.0,0.2857142857142857,4.0
98U2V57,29.0,26.0,0.1,3.0
992RUGC,0.0,0.0,0.0,0.0
99G345E,443.0,273.0,0.38288288288288286,170.0
9A2FNZP,0.0,0.0,0.0,0.0
